folder,trait,Full trait name,Domain,N,Ncase,Ncontrol,Ancestry,Remove,notes
2018_EACP,EduYears18,Years of education,"Intelligence, cognition and education","766,345","","",EUR,N,""
2016_4,Memory,Memory,"Intelligence, cognition and education","112,067","","",EUR,N,UK Biobank
2016_4,Reaction_time,Reaction time,"Intelligence, cognition and education","111,483","","",EUR,N,UK Biobank
2015_CKD,eGFRcrea,Glomerular filtration rate by serum creatinine,Kidney function,"133,814","","",EUR,N,2015_CKD is the same as 2016_14
2015_CKD,eGFRcys,Glomerular filtration rate by serum cystatin,Kidney function,"33,152","","",EUR,N,2015_CKD is the same as 2016_14
2014_2,longevity,Longevity (>=85),Longevity,"","7,729","16,121",EUR,N,""
2018_T2D,T2D18,Type 2 diabetes,Metabolic disease,"","74,124","824,006",EUR,N,""
2016_10,ALS,Amyotrophic lateral sclerosis,Neurologic disease,"","12,577","23,475",EUR,N,""
2013_4,alzheimer,Alzheimer's disease,Neurologic disease,"","17,008","37,154",EUR,N,""
2018_BIP,bip,Bipolar disorder,Psychiatric disease,"","20,129","21,524",EUR,N,""
2017_asd,asd,Autism spectrum disorder,Psychiatric disease,"","18,382","27,969",EUR,N,""
2017_adhd,adhd,ADHD,Psychiatric disease,"","20,183","35,191",Mainly EUR,N,""
2014_14,scz,Schizophrenia,Psychiatric disease,"","33,640","43,456",90% EUR,N,""
2017_3,menarche,Age at menarche,Reproductive,"252,514","","",EUR,N,We still use this data though it includes UK Biobank - the earlier data (2014_12) were rounded to 2 decimal places.
2016_17,AFB,Age at first birth,Reproductive,"251,151","","",EUR,N,""
2016_17,NEB,Number of children ever born,Reproductive,"343,072","","",EUR,N,""
2015_2,menopause,Age at natural menopause,Reproductive,"69,360","","",EUR,N,""
2010_7,asthma,Asthma,Respiratory disease,"","10,365","16,110",EUR,N,""
2015_6,atoptic_derm,Atopic dermatitis,Skin disease,"","10,788","30,047",EUR,N,Also known as eczema; acknowledges the EAGLE eczema consortium
2019_smkalch,AgeofInitiation,Age of smoking initiation,Social science and lifestyle,"341,427","","",EUR,N,""
2019_smkalch,CigarettesPerDay,Cigarettes per day,Social science and lifestyle,"337,334","","",EUR,N,""
2019_smkalch,DrinksPerWeek,Drinks per week,Social science and lifestyle,"941,280","","",EUR,N,""
2019_smkalch,SmokingCessation,Smoking cessation,Social science and lifestyle,"","","",EUR,N,Binary. Total sample size is 547219.
2019_smkalch,SmokingInitiation,Smoking initiation,Social science and lifestyle,"","","",EUR,N,Binary. Total sample size is 1232091.
2018_CNCR_NEUR_DEP,DS,Depressive symptoms,Social science and lifestyle,"381,455","","",EUR,N,""
2018_CNCR_NEUR_DEP,neuroticism,Neuroticism,Social science and lifestyle,"390,278","","",EUR,N,""
2016_6,Income,Household income,Social science and lifestyle,"112,151","","",EUR,N,UK Biobank
2016_6,Townsend,Social deprivation,Social science and lifestyle,"112,151","","",EUR,N,UK Biobank
2016_5,SRH,Self-rated health,Social science and lifestyle,"111,749","","",EUR,N,UK Biobank
2016_18,extraversion,Extraversion,Social science and lifestyle,"63,060","","",EUR,N,""
2016_16,SWB,subjective well-being,Social science and lifestyle,"298,420","","",EUR,N,""
2012_13,conscientiousness,Conscientiousness,Social science and lifestyle,"17,375","","",EUR,N,""
2012_13,openness,Openness,Social science and lifestyle,"17,375","","",EUR,N,""
